ticker,field,issue_type,period_end_date,details
ADBE,operating_cash_flow,restatement,2019-11-29,Value changed across filings: 4421813000 (filed 2020-01-21) -> 4422000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,cash_and_equivalents,restatement,2017-12-01,Value changed across filings: 2306072000 (filed 2018-01-22) -> 2306000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,cash_and_equivalents,restatement,2018-11-30,Value changed across filings: 1642775000 (filed 2019-01-25) -> 1643000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,cash_and_equivalents,restatement,2019-11-29,Value changed across filings: 2650221000 (filed 2020-01-21) -> 2650000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,short_term_debt,tag_fallback,,"Primary tag 'LongTermDebtCurrent' didn't cover every year; filled gaps from ['DebtCurrent'] (period-by-period, only for dates the higher-priority tag never reports)."
ADBE,short_term_debt,restatement,2019-11-29,Value changed across filings: 3149343000 (filed 2020-01-21) -> 3149000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,long_term_debt,tag_fallback,,"Primary tag 'LongTermDebtNoncurrent' didn't cover every year; filled gaps from ['LongTermDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
ADBE,diluted_shares_outstanding,restatement,2018-11-30,Value changed across filings: 497843000 (filed 2019-01-25) -> 497800000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,diluted_shares_outstanding,restatement,2019-11-29,Value changed across filings: 491572000 (filed 2020-01-21) -> 491600000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,total_debt,partial_debt_components,2008-11-28,Only one of short_term_debt (None) / long_term_debt (350000000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
ADBE,total_debt,partial_debt_components,2009-11-27,Only one of short_term_debt (None) / long_term_debt (1000000000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
ADBE,total_debt,partial_debt_components,2018-11-30,Only one of short_term_debt (0) / long_term_debt (None) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerExcludingAssessedTax', 'SalesRevenueNet'] (period-by-period, only for dates the higher-priority tag never reports)."
NOW,revenue,restatement,2019-12-31,Value changed across filings: 3460437000 (filed 2020-02-20) -> 3460000000 (filed 2022-02-03). Keeping the later filing's value.
NOW,revenue,restatement,2020-12-31,Value changed across filings: 4519484000 (filed 2021-02-12) -> 4519000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,operating_income,restatement,2016-12-31,Value changed across filings: -422808000 (filed 2017-02-28) -> -382168000 (filed 2019-02-27). Keeping the later filing's value.
NOW,operating_income,restatement,2017-12-31,Value changed across filings: -101414000 (filed 2018-02-28) -> -64396000 (filed 2020-02-20). Keeping the later filing's value.
NOW,operating_income,restatement,2019-12-31,Value changed across filings: 42123000 (filed 2020-02-20) -> 42000000 (filed 2022-02-03). Keeping the later filing's value.
NOW,operating_income,restatement,2020-12-31,Value changed across filings: 198863000 (filed 2021-02-12) -> 199000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,net_income,restatement,2016-12-31,Value changed across filings: -451804000 (filed 2017-02-28) -> -414249000 (filed 2019-02-27). Keeping the later filing's value.
NOW,net_income,restatement,2017-12-31,Value changed across filings: -149130000 (filed 2018-02-28) -> -116846000 (filed 2020-02-20). Keeping the later filing's value.
NOW,net_income,restatement,2020-12-31,Value changed across filings: 118503000 (filed 2021-02-12) -> 119000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,net_income,restatement,2021-12-31,Value changed across filings: 230141000 (filed 2022-02-03) -> 230000000 (filed 2024-01-25). Keeping the later filing's value.
NOW,income_tax_expense,restatement,2016-12-31,Value changed across filings: 1753000 (filed 2017-02-28) -> 3830000 (filed 2019-02-27). Keeping the later filing's value.
NOW,income_tax_expense,restatement,2017-12-31,Value changed across filings: 126000 (filed 2018-02-28) -> 3440000 (filed 2020-02-20). Keeping the later filing's value.
